-- Avg Diffs in milliseconds

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,1.01,0.82,0.94,1.11,7.5
100,1.89,1.25,2.76,2.3,47.18
500,4.93,1.17,16.02,20.44,232.95
1000,7.86,19.62,55.39,44.52,550.55

-- Total Time in milliseconds

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,1.18,3.09,3.04,3.42,31.36
100,2.26,8.31,12.42,13.47,262
500,6.28,23.67,72.06,73.47,1349.36
1000,10.62,97.32,182.33,172.69,2791.21

-- Avg Mem % from initial - !!! Only reliable when a single test is run

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,19.4,73.46,98.88,31.41,-11.5
100,36.51,192.15,367.34,214.87,433.12
500,91.01,275.24,578.02,386.53,796.51
1000,149.76,667.03,564.33,126.39,1376
