-- Avg Diffs in milliseconds

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,0.15,0.06,0.52,0.56,8.17
100,0.65,0.05,4.38,5.72,45.01
500,2.32,0.05,40.31,40.11,274.05
1000,3.59,0.04,69.67,68.78,566.02

-- Total Time in milliseconds

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,0.31,1.55,1.87,2.36,31.76
100,1.54,3.89,10.61,11.94,256.68
500,4.78,15.73,85.81,84.86,1432.59
1000,8.25,28.49,175.57,173.22,3055.09

-- Avg Mem % from initial - !!! Only reliable when a single test is run

loops,async,when-1.8.1,when-2.0.1,when-2.1.x,Q
10,16.25,69.16,97.62,29.48,-9.56
100,31.91,94.32,396.99,251.71,401.23
500,82.87,204.83,610.97,330.68,680.82
1000,141.55,281.42,631.53,89.77,1290.03
